Density, Table size, Creation time, Build read time, Build time, Build probes, Successful read time, Successful time, Successful probes, Unsuccessful read time, Unsuccessful time, Unsuccessful probes
0.05,10000001,1760,4859,103,0.01036,43,3,0.908,34,1,0.513
0.1,5000001,121,2475,85,0.04772,38,1,2.126,26,1,1.089
0.15,3333333,43,1954,70,0.11354,23,3,3.3560000000000003,17,1,1.73
0.2,2500001,37,1425,74,0.2129,17,1,4.677,40,3,2.39
0.25,2000001,43,1351,73,0.34828,17,3,6.088,17,0,3.278
0.3,1666667,17,1269,73,0.51572,17,3,7.773999999999999,15,3,4.408
0.35,1428571,6,1283,74,0.74398,25,3,9.646,18,3,5.485
0.4,1250001,8,1247,75,1.03054,28,3,11.925,18,0,7.136
0.45,1111111,12,1149,72,1.37072,23,3,14.129,18,4,8.778
0.5,1000001,3,1184,68,1.8082,26,3,16.989,23,4,10.624
0.55,909091,6,1204,75,2.29462,15,1,20.374,15,4,12.883
0.6,833333,4,1109,67,2.92278,17,3,25.011,17,3,16.327
0.65,769231,12,1165,85,3.6531,28,7,29.716999999999995,28,1,18.991
0.7,714285,4,1101,76,4.6087,15,6,36.272,28,0,25.051
0.75,666667,7,1171,79,5.81782,15,6,44.771,17,4,32.824
0.8,625001,12,1112,85,7.430020000000001,17,6,61.202999999999996,15,6,44.345
0.85,588235,3,1162,79,9.84896,25,6,95.059,15,4,69.126
0.9,555555,0,1101,98,14.50894,26,7,206.90500000000003,15,7,152.416
0.95,526315,3,1138,101,26.600540000000002,15,15,524.602,15,9,400.978
1.0,500001,6,1085,138,61.23054,24,26,1173.548,15,20,1093.408
